geo_id,name,date,value
S12000033,Aberdeen City,2024,231780
S12000034,Aberdeenshire,2024,265080
S12000041,Angus,2024,114810
S12000035,Argyll and Bute,2024,87690
S12000036,City of Edinburgh,2024,530680
S12000005,Clackmannanshire,2024,52110
S12000006,Dumfries and Galloway,2024,145860
S12000042,Dundee City,2024,149880
S12000008,East Ayrshire,2024,121480
S12000045,East Dunbartonshire,2024,109970
S12000010,East Lothian,2024,115180
S12000011,East Renfrewshire,2024,99830
S12000014,Falkirk,2024,160020
S12000047,Fife,2024,374760
S12000049,Glasgow City,2024,650300
S12000017,Highland,2024,237290
S12000018,Inverclyde,2024,78880
S12000019,Midlothian,2024,99880
S12000020,Moray,2024,95010
S12000013,Na h-Eileanan Siar,2024,26020
S12000021,North Ayrshire,2024,134010
S12000050,North Lanarkshire,2024,344540
S12000023,Orkney Islands,2024,22020
S12000048,Perth and Kinross,2024,154420
S12000038,Renfrewshire,2024,189170
S12000026,Scottish Borders,2024,116980
S12000027,Shetland Islands,2024,23190
S12000028,South Ayrshire,2024,112260
S12000029,South Lanarkshire,2024,334030
S12000030,Stirling,2024,94210
S12000039,West Dunbartonshire,2024,89120
S12000040,West Lothian,2024,186440
